phase,temp,beta,volume,system,binodal,lnz_0,edge_distance,ntot,betaOmega,PE,dens,pres,pe_n,size,lnz_0_stderr,edge_distance_stderr,ntot_stderr,betaOmega_stderr,PE_stderr,dens_stderr,pres_stderr,pe_n_stderr,size_stderr
0,0.902,1.1086474501108647,512.0,lj-n12m6,0,-4.4057291335000315,479.0,7.545046873148287,-6.8371758956921225,-1.12744635401737,0.014736419674117748,0.09088145553955188,-0.14942867267126048,4,-4.4057291335000315,479.0,7.545046873148287,-6.8371758956921225,-1.12744635401737,0.014736419674117748,0.09088145553955188,-0.14942867267126048,4
0,0.903,1.1074197120708749,512.0,lj-n12m6,0,-4.399087342999724,479.0,7.603562092010236,-6.886088624490419,-1.14414161975112,0.014850707210957492,0.09234374775855284,-0.1504744212294749,4,-4.399087342999724,479.0,7.603562092010236,-6.886088624490419,-1.14414161975112,0.014850707210957492,0.09234374775855284,-0.1504744212294749,4
0,0.904,1.1061946902654867,512.0,lj-n12m6,0,-4.39246430324996,479.0,7.662415976657302,-6.935230523433687,-1.161051276954766,0.014965656204408793,0.09382640975464433,-0.15152548043016673,4,-4.39246430324996,479.0,7.662415976657302,-6.935230523433687,-1.161051276954766,0.014965656204408793,0.09382640975464433,-0.15152548043016673,4
0,0.905,1.1049723756906078,512.0,lj-n12m6,0,-4.3858599452498215,479.0,7.72160993869779,-6.984601979496197,-1.1781776910735453,0.01508126941151912,0.095329681600932,-0.15258186899090329,4,-4.3858599452498215,479.0,7.72160993869779,-6.984601979496197,-1.1781776910735453,0.01508126941151912,0.095329681600932,-0.15258186899090329,4
0,0.906,1.1037527593818983,512.0,lj-n12m6,0,-4.379274200249929,479.0,7.781145397051706,-7.034203376483642,-1.1955232507311333,0.015197549603616613,0.09685380570712675,-0.1536436057335699,4,-4.379274200249929,479.0,7.781145397051706,-7.034203376483642,-1.1955232507311333,0.015197549603616613,0.09685380570712675,-0.1536436057335699,4
0,0.907,1.1025358324145533,512.0,lj-n12m6,0,-4.372707000749947,479.0,7.841023776171658,-7.084035099204657,-1.2130903672609021,0.01531449956283527,0.09839902687323851,-0.15471070953298147,4,-4.372707000749947,479.0,7.841023776171658,-7.084035099204657,-1.2130903672609021,0.01531449956283527,0.09839902687323851,-0.15471070953298147,4
0,0.908,1.1013215859030836,512.0,lj-n12m6,0,-4.366158278999837,479.0,7.9012465071108124,-7.134097529736286,-1.2308814754635662,0.015432122084200806,0.09996559227056079,-0.15578319936817883,4,-4.366158278999837,479.0,7.9012465071108124,-7.134097529736286,-1.2308814754635662,0.015432122084200806,0.09996559227056079,-0.15578319936817883,4
0,0.909,1.1001100110011002,512.0,lj-n12m6,0,-4.359627967000161,479.0,7.961815027395839,-7.184391048383646,-1.248899033583606,0.015550419975382498,0.1015537514718096,-0.1568610942957701,4,-4.359627967000161,479.0,7.961815027395839,-7.184391048383646,-1.248899033583606,0.015550419975382498,0.1015537514718096,-0.1568610942957701,4
0,0.91,1.0989010989010988,512.0,lj-n12m6,0,-4.35311599799994,479.0,8.022730780396884,-7.234916034947923,-1.2671455232954323,0.015669396055462664,0.10316375647993173,-0.15794441343550425,4,-4.35311599799994,479.0,8.022730780396884,-7.234916034947923,-1.2671455232954323,0.015669396055462664,0.10316375647993173,-0.15794441343550425,4
0,0.911,1.097694840834248,512.0,lj-n12m6,0,-4.346622304499645,479.0,8.083995218139648,-7.285672867533531,-1.2856234509064572,0.015789053160429,0.10479586176678822,-0.15903317603965167,4,-4.346622304499645,479.0,8.083995218139648,-7.285672867533531,-1.2856234509064572,0.015789053160429,0.10479586176678822,-0.15903317603965167,4
